a,tau,f,lambda
0.1,0.2,0.7,0.9
0.4,0.3,0.3,1.0
0.15,0.35,0.5,0.8
0.3,0.4,0.3,0.6
0.4,0.4,0.2,0.8
0.3,0.4,0.3,0.6
0.32,0.33,0.35,0.3
0.1,0.1,0.8,0.8
0.3,0.3,0.4,0.7
0.3,0.5,0.2,1.0
0.6,0.2,0.2,0.6
0.36363636363636365,0.3181818181818182,0.3181818181818182,0.7
0.1,0.6,0.3,0.45
0.3,0.3,0.4,0.4
0.2,0.5,0.3,0.6
0.4,0.3,0.3,0.7
0.2,0.3,0.5,0.3
0.1,0.5,0.4,0.03
0.2891566265060241,0.3534136546184739,0.357429718875502,0.98
0.3,0.344,0.356,0.89
0.2,0.5,0.3,0.7
0.1,0.7,0.2,0.7
0.2,0.5,0.3,0.8
0.1,0.4,0.5,0.8
0.15,0.35,0.5,0.8
0.2,0.3,0.5,0.4
0.05,0.8,0.15,0.3
0.3,0.2,0.5,0.99
0.1,0.7,0.2,0.85
0.1,0.7,0.2,0.6
0.2,0.4,0.4,0.6
0.3,0.5,0.2,0.7
0.15,0.7,0.15,0.3
0.2,0.3,0.5,0.6
0.2,0.5,0.3,0.8
0.2,0.5,0.3,0.8
0.2857142857142857,0.38095238095238093,0.3333333333333333,0.7
0.2,0.4,0.4,0.8
0.2,0.5,0.3,0.8
0.25,0.65,0.1,0.7
0.05,0.7,0.25,0.8
0.0,0.6,0.4,0.8
0.2,0.5,0.3,0.8
0.05,0.8,0.15,0.7
0.1,0.6,0.3,0.6
0.1,0.8,0.1,1.0
0.1,0.3,0.6,0.4
0.1,0.7,0.2,0.7
0.1,0.5,0.4,0.6
0.15,0.45,0.4,0.8
0.3,0.6,0.1,0.6
0.2,0.5,0.3,0.7
0.25,0.25,0.5,0.6
0.2,0.5,0.3,0.7
0.25,0.2,0.55,0.6
0.1,0.5,0.4,0.8
0.2,0.6,0.2,0.6
0.2,0.3,0.5,0.7
0.1,0.5,0.4,0.8
0.3,0.3,0.4,0.8
0.2222222222222222,0.3333333333333333,0.4444444444444444,0.9
0.25,0.4,0.35,0.8
0.30612244897959184,0.32653061224489793,0.3673469387755102,0.6
0.15,0.35,0.5,0.7
0.05,0.6,0.35,0.8
0.33783783783783783,0.36936936936936937,0.2927927927927928,0.6
0.4,0.35,0.25,0.6
0.15,0.7,0.15,1.0
0.2,0.5,0.3,0.6
0.05,0.15,0.8,1.0
0.1,0.5,0.4,0.7
0.2,0.2,0.6,0.6
0.2,0.4,0.4,0.6
0.12,0.38,0.5,0.95
0.1,0.1,0.8,0.7
