a,tau,f,lambda
0.05,0.9,0.05,0.9
0.2,0.5,0.3,0.8
0.3,0.6,0.1,0.4
0.3,0.5,0.2,0.6
0.2,0.6,0.2,0.7
0.2,0.5,0.3,0.6
0.3,0.5,0.2,0.4
0.2,0.6,0.2,0.5
0.3,0.3,0.4,0.6
0.2,0.5,0.3,0.4
0.1,0.4,0.5,0.6
0.4,0.3,0.3,0.8
0.35,0.4,0.25,0.6
0.25,0.35,0.4,0.75
0.4,0.3,0.3,0.7
0.1,0.7,0.2,0.6
0.25,0.25,0.5,0.85
0.4,0.3,0.3,0.8
0.1,0.7,0.2,0.2
0.3,0.5,0.2,0.6
0.15,0.6,0.25,0.9
0.5,0.15,0.35,0.85
0.2,0.3,0.5,0.7
0.1,0.6,0.3,0.7
0.1,0.7,0.2,0.6
0.1,0.5,0.4,0.5
0.15,0.45,0.4,0.7
0.2,0.4,0.4,0.7
0.3,0.4,0.3,0.5
0.2,0.5,0.3,0.5
