a,tau,f,lambda
0.1875,0.375,0.4375,0.85
0.25,0.5,0.25,1.0
0.5,0.35,0.15,0.7
0.15,0.5,0.35,0.6
0.3,0.5,0.2,0.7
0.3,0.6,0.1,0.3
0.28,0.4,0.32,0.65
0.0,1.0,0.0,0.7
0.2,0.6,0.2,0.6
0.3684210526315789,0.5263157894736842,0.10526315789473684,1.0
0.4,0.3,0.3,0.6
0.3684210526315789,0.3157894736842105,0.3157894736842105,0.4
0.3,0.5,0.2,0.75
0.25,0.25,0.5,0.4
0.2,0.4,0.4,0.8
0.5,0.3,0.2,0.6
0.5,0.1,0.4,0.6
0.15,0.8,0.05,0.6
0.30493273542600896,0.38565022421524664,0.3094170403587444,0.58
0.27102803738317754,0.4158878504672897,0.3130841121495327,0.6
0.2,0.5,0.3,0.8
0.2,0.6,0.2,0.5
0.2,0.6,0.2,0.7
0.2,0.6,0.2,0.4
0.2,0.35,0.45,0.7
0.2,0.3,0.5,0.4
0.2,0.55,0.25,0.57
0.2,0.4,0.4,0.5
0.2,0.45,0.35,0.85
0.1,0.6,0.3,0.7
0.3,0.4,0.3,0.7
0.25,0.4,0.35,0.6
0.2,0.7,0.1,0.7
0.2,0.7,0.1,0.7
0.1,0.7,0.2,0.7
0.3,0.5,0.2,0.7
0.34782608695652173,0.30434782608695654,0.34782608695652173,0.6
0.2,0.6,0.2,0.7
0.3,0.5,0.2,0.75
0.1,0.7,0.2,0.4
0.25,0.65,0.1,0.65
0.25,0.5,0.25,0.6
0.1,0.7,0.2,0.7
0.15,0.8,0.05,0.9
0.1,0.6,0.3,0.6
0.05,0.6,0.35,0.6
0.1,0.7,0.2,0.7
0.1,0.7,0.2,0.7
0.1,0.7,0.2,0.6
0.16666666666666666,0.5,0.3333333333333333,0.8
0.2222222222222222,0.4444444444444444,0.3333333333333333,0.5
0.17,0.6,0.23,0.8
0.4,0.3,0.3,0.5
0.2,0.3,0.5,0.8
0.25,0.5,0.25,0.6
0.2,0.5,0.3,0.7
0.3,0.5,0.2,0.45
0.3,0.5,0.2,0.6
0.3,0.2,0.5,0.8
0.3,0.2,0.5,0.75
0.06666666666666667,0.5333333333333333,0.4,0.6
0.4,0.4,0.2,0.6
0.2916666666666667,0.3333333333333333,0.375,0.8
0.2,0.35,0.45,0.6
0.2,0.7,0.1,0.6
0.3472222222222222,0.2777777777777778,0.375,0.7
0.55,0.25,0.2,0.8
0.2,0.6,0.2,0.8
0.2,0.6,0.2,0.75
0.1,0.7,0.2,0.8
0.1,0.6,0.3,0.5
0.3,0.5,0.2,0.8
0.3,0.3,0.4,0.8
0.2766798418972332,0.38735177865612647,0.3359683794466403,0.95
0.043478260869565216,0.6956521739130435,0.2608695652173913,0.8
