a,tau,f,lambda
0.1,0.7,0.2,0.5
0.4,0.2,0.4,0.01
0.2,0.3,0.5,0.7
0.15,0.6,0.25,0.75
0.2,0.2,0.6,0.9
0.2,0.6,0.2,0.7
0.55,0.15,0.3,0.8
0.1,0.7,0.2,0.7
0.24324324324324326,0.35135135135135137,0.40540540540540543,0.49
0.25,0.6,0.15,0.2
0.2,0.6,0.2,0.7
0.05,0.8,0.15,0.8
0.2,0.45,0.35,0.6
0.22857142857142856,0.45714285714285713,0.3142857142857143,0.8
0.1,0.7,0.2,0.8
0.25,0.5,0.25,0.75
0.05,0.8,0.15,0.7
0.0,1.0,0.0,0.95
0.2,0.5,0.3,0.85
0.3,0.3,0.4,0.6
0.2,0.7,0.1,0.8
0.2,0.5,0.3,0.7
0.2,0.4,0.4,0.8
0.2,0.6,0.2,0.6
0.1,0.8,0.1,0.9
0.4,0.5,0.1,0.95
0.2,0.6,0.2,0.3
0.1,0.6,0.3,0.8
0.15384615384615385,0.5384615384615384,0.3076923076923077,0.7
0.4,0.4,0.2,0.7
0.2,0.6,0.2,0.6
0.25,0.25,0.5,0.4
0.2,0.6,0.2,0.8
0.2,0.4,0.4,0.7
0.2,0.6,0.2,0.7
0.3,0.5,0.2,1.0
0.15,0.7,0.15,0.65
0.2,0.7,0.1,0.9
0.5,0.3,0.2,0.6
0.01,0.99,0.0,0.99
0.0,0.8,0.2,0.6
0.4,0.3,0.3,0.75
0.2,0.6,0.2,0.7
0.25,0.6,0.15,0.65
0.05,0.75,0.2,0.85
0.1,0.8,0.1,0.5
0.1,0.6,0.3,0.6
0.15,0.7,0.15,0.65
0.1,0.8,0.1,0.87
0.1,0.8,0.1,0.8
0.1,0.4,0.5,0.6
0.03,0.9,0.07,0.95
0.3,0.5,0.2,0.7
0.3,0.5,0.2,0.7
0.2,0.4,0.4,0.6
0.3,0.3,0.4,0.7
0.25,0.5,0.25,0.3
0.2,0.6,0.2,0.5
0.2,0.6,0.2,0.7
0.2,0.4,0.4,0.7
