a,tau,f,lambda
0.1,0.7,0.2,0.9
0.8,0.1,0.1,0.8
0.1,0.8,0.1,0.9
0.45,0.1,0.45,0.3
0.01,0.5,0.49,0.5
0.2,0.4,0.4,0.6
0.0,1.0,0.0,0.8
0.2,0.4,0.4,0.2
0.2,0.5,0.3,0.4
0.2,0.3,0.5,0.9
0.1,0.2,0.7,0.8
0.25,0.7,0.05,0.6
0.3,0.2,0.5,0.75
0.15,0.25,0.6,0.85
0.2,0.5,0.3,0.9
0.05,0.8,0.15,0.5
0.01,0.98,0.01,0.9
0.0,0.95,0.05,1.0
0.1,0.4,0.5,0.7
0.1,0.6,0.3,0.5
0.03,0.9,0.07,0.4
0.1,0.3,0.6,0.3
0.0,0.4,0.6,0.7
0.1,0.7,0.2,0.8
0.1,0.8,0.1,0.75
0.05,0.75,0.2,1.0
0.05,0.35,0.6,0.1
0.1,0.7,0.2,0.8
0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5
0.3,0.6,0.1,0.8
0.1,0.6,0.3,0.7
0.2,0.3,0.5,0.45
0.2,0.6,0.2,0.4
0.1,0.7,0.2,1.0
0.25,0.5,0.25,0.7
0.1,0.8,0.1,1.0
0.05,0.8,0.15,0.95
0.3,0.5,0.2,0.8
0.2,0.5,0.3,0.5
0.45,0.45,0.1,1.0
0.0,0.8,0.2,0.5
0.45,0.25,0.3,0.1
0.3,0.3,0.4,0.7
0.15,0.7,0.15,0.7
0.01,0.34,0.65,0.9
0.0,0.95,0.05,0.95
0.1,0.4,0.5,0.8
0.2,0.4,0.4,0.7
0.3,0.3,0.4,0.6
0.1,0.7,0.2,0.6
0.1,0.5,0.4,0.9
0.08,0.9,0.02,0.4
0.1,0.6,0.3,0.8
0.3,0.5,0.2,0.7
0.2,0.3,0.5,0.9
0.2,0.2,0.6,0.6
0.3,0.4,0.3,0.8
0.2,0.5,0.3,0.55
0.1,0.5,0.4,0.6
0.0,0.5,0.5,0.1
