a,tau,f,lambda,O_inital,A_inital,O_inital_text
0.1,0.3,0.6,0.7,1.0,1.0,能够很好的垃圾分类，自己居民很容易辨别垃圾区分
0.25,0.7,0.05,1.0,1.0,1.0,垃圾分类有利于减少有害细菌的传播，也有利于废物利用
0.1,0.65,0.25,0.2,0.9,1.0,垃圾分类能有效保护生态环境，实行可持续发展，才是人类幸福生活的基础。
0.1,0.6,0.3,0.3,0.9,1.0,垃圾分类是好事，及保护环境，又能够促进废旧材料的回收利用。
0.36363636363636365,0.2727272727272727,0.36363636363636365,0.2,0.5,0.0,扔垃圾是家庭必须的，但是还要不同的垃圾袋去分类这就比较麻烦，而且比较脏，我感觉还是不太好的，
0.1,0.7,0.2,0.3,0.9,1.0,比较有辨识度，方便老人使用分类，提升社区垃圾分类
0.35,0.35,0.3,0.2,0.7,1.0,垃圾分类是非常有必要的，只是觉得具体实施政策还需要多方面考虑进一步完善
0.0,0.9,0.1,0.25,0.8,1.0,垃圾分类很有必要，可以节约资源，保护环境
0.3,0.4,0.3,0.8,0.8,1.0,可以利用垃圾分类，这样也方便整理，而且也能美化环境，分类的更加详细能够带来更好的环境，以及管理
0.3157894736842105,0.47368421052631576,0.21052631578947367,1.0,1.0,1.0,我感觉非常好有助于保护环境
0.3,0.2,0.5,0.6,0.6,1.0,垃圾分类可以保护环境
0.3181818181818182,0.36363636363636365,0.3181818181818182,0.7,1.0,1.0,首先来说这个垃圾分类是好的一个方向 现在全国也在也行 可以大大减少很多病毒和细菌也方便了工人
0.4,0.4,0.2,0.75,0.6,1.0,因为我觉得我不能够执行
0.25,0.25,0.5,0.6,0.9,1.0,垃圾分类可以保护环境
0.2,0.3,0.5,0.4,0.6,1.0,这个政策有助于环保，可以有效利用资源
0.3,0.3,0.4,0.1,0.8,1.0,垃圾分类顺手的事情 而且这样做还利于国家环保事业
0.4,0.3,0.3,0.4,0.5,0.0,个人执行力不够
0.2,0.6,0.2,0.2,0.6,1.0,虽然分类需要花额外的精力，但是垃圾分类本身是好事
0.25,0.35,0.4,0.84,0.8,1.0,垃圾分类可以充分利用医院
0.27586206896551724,0.3399014778325123,0.3842364532019704,0.76,0.9,1.0,垃圾分类可以很好的利用各种资源
0.3,0.4,0.3,0.9,0.9,1.0,垃圾分类有助于提升社区卫生水平。
0.1,0.6,0.3,0.4,0.2,0.0,需要花费额外的时间和精力去正确分类，可能对生活带来一定的不方便
0.2,0.65,0.15,0.35,0.9,1.0,能大大促进废旧资源的回收减少对环境的污染促进废物回收利用
0.1,0.5,0.4,0.4,0.2,0.0,害怕参与性不高，参与得人较少，实际分类效果不佳
0.3,0.55,0.15,0.8,0.9,0.0,垃圾分类对人类社会的长久发展提供的能源动力、经济动力等，对可持续发展非常有利
0.4,0.2,0.4,0.5,0.5,1.0,节能环保
0.11,0.71,0.18,0.73,0.2,0.0,本身垃圾分类就很麻烦，还要注意不同颜色；另外我怀疑这么做对提高回收效率的有效性
0.2,0.5,0.3,0.9,0.7,0.0,出发点是好的，但是形式上有待改进。
0.2,0.55,0.25,0.7,0.3,1.0,首先律己不律人，可能自己做到位了邻居也做不到位，需要的素质水平太高了，而且特制垃圾袋也很麻烦，需要时常补货
0.1,0.7,0.2,0.3,0.8,1.0,可以更好的保护我们的环境，也让自己身边的环境变得更加的简洁了
0.2,0.5,0.3,0.6,0.9,1.0,垃圾分类非常重要
0.32,0.36,0.32,0.7,0.9,1.0,垃圾分类对我们小区居民都有好处啊，而且也不是很麻烦 顺手的事，英应该大力支持
0.05,0.9,0.05,0.2,0.9,1.0,回收利用旧物资，环保，节约能源，
0.3,0.3,0.4,0.6,0.7,1.0,垃圾分类很有必要，如果不会分类的话可以系统的去学习一下，
0.2,0.6,0.2,0.7,0.8,1.0,垃圾分类可以减少垃圾对整个生态环境的污染
0.2,0.6,0.2,0.6,1.0,1.0,垃圾分类很有必要，不管多大成本我们都要去做，为了整个社会
0.34782608695652173,0.2608695652173913,0.391304347826087,0.7,0.5,0.0,家里有老人的话，他们可能对这些东西比较模糊不清，还得花时间去分类
0.2,0.4,0.4,0.3,0.8,1.0,垃圾分类政策是有必要的 但是还要许多方面要完善
0.1,0.4,0.5,0.7,0.7,1.0,我感觉这样有助于防止病菌传播，保持社区清洁，提升社区卫生水平。
0.05,0.7,0.25,0.3,1.0,1.0,爱护环境人人有责，为了自己也为了地球
0.2,0.5,0.3,0.7,0.7,1.0,可以有效的进行垃圾分类 从而维护环境
0.25,0.4,0.35,0.7,0.1,0.0,垃圾分类难以执行到位，如果有一部分人分类，另一部分人不分类，最后的结果还是垃圾无法分类
0.1,0.6,0.3,0.1,1.0,1.0,垃圾分类能够有效减少垃圾对环境的污染，使环境变得更好
0.2,0.7,0.1,0.2,1.0,1.0,垃圾分类必须好好做 每个人都需要 要不然整的乌烟瘴气受不了
0.1,0.7,0.2,0.3,0.8,1.0,垃圾分类可以方便废物的回收利用
0.1,0.7,0.2,1.0,1.0,1.0,按照种类回收垃圾特别好，减少很多麻烦
0.3,0.6,0.1,0.2,0.7,1.0,垃圾分类能够有效减少垃圾对环境的污染，包括空气、土壤和水体等，保护生态环境。
0.2,0.6,0.2,0.8,0.7,0.0,就算我这样做了，到时候垃圾车还是会把垃圾混合起来，相当于没做
0.1,0.8,0.1,0.3,0.8,1.0,垃圾分类可以保证社区的清洁，减少病菌的传播
0.1388888888888889,0.4444444444444444,0.4166666666666667,0.5,0.9,1.0,不同的垃圾袋，直接直观，扔的时候不用另外打开看；环保
0.25,0.4375,0.3125,0.6,0.7,1.0,不同垃圾进行分类，非常好。
0.04,0.76,0.2,0.76,0.6,1.0,虽然说垃圾分类比较麻烦，但是为了环保，付出一些代价也没事
0.25,0.35,0.4,0.3,0.9,1.0,垃圾分类减少环境污染，有利于改善我们的生存环境，势在必行，考虑到实际实行难度，扣1分，总体给出9分
0.2,0.5,0.3,0.6,0.9,1.0,国家倡导垃圾分类，有助于保护环境和节约环卫工人的劳动时间
0.2,0.3,0.5,0.4,0.9,1.0,垃圾分类可以有效减少有害废弃物的混合，有助于防止病菌传播，保持社区清洁，提升社区卫生水平。
0.2,0.4,0.4,0.7,0.6,1.0,虽然政策比较好，但是具体实施需要看个人实际，如果大家实施力度不够不佳
0.15,0.5,0.35,0.5,0.9,1.0,垃圾分类能够有效减少垃圾对环境的污染，可以保护环境
0.3,0.4,0.3,0.8,0.6,0.0,虽然保护环境，但给居民生活带来不便
0.1,0.8,0.1,0.5,0.5,1.0,垃圾桶已经分类设置了，垃圾袋也分颜色多此一举，老年人可能难以理解与接受
0.25,0.4,0.35,0.3,0.9,1.0,垃圾分类促进了对废旧材料的回收，更好的保护了环境
0.07692307692307693,0.6923076923076923,0.23076923076923078,0.35,1.0,1.0,垃圾分类有利于环境保护
0.3,0.4,0.3,0.5,0.7,1.0,首先垃圾分类很重要，其次使用不同颜色的垃圾桶可以更加清晰让我们分辨垃圾的种类，
0.3191489361702128,0.2978723404255319,0.3829787234042553,0.5,0.9,1.0,因为可以防止病毒病菌传播
0.25,0.5,0.25,0.8,0.2,0.0,需要花费额外的时间和精力去正确分类，可能对生活带来一定不便。
0.1,0.6,0.3,0.65,0.8,1.0,垃圾分类是保持社区干净整洁的必要途径
0.30434782608695654,0.34782608695652173,0.34782608695652173,0.85,1.0,1.0,垃圾分类能够有效减少垃圾对环境的污染，包括空气、土壤和水体等，保护生态环境。
