a,tau,f,lambda,O_inital,A_inital,O_inital_text
0.05,0.8,0.15,0.8,0.9,1.0,能够节约资源，旧材料再利用
0.1,0.85,0.05,0.1,1.0,1.0,垃圾分类是环保活动，我们需要鼓励身边人积极的参与进来有助于环境的保护
0.3,0.6,0.1,0.4,1.0,1.0,垃圾分类可以有效改善环境污染问题，对于当代人来说，保护好环境是很重要的
0.2,0.6,0.2,0.5,0.9,1.0,垃圾分类是非常重要的一项措施 该政策能够完善垃圾分类问题
0.2,0.6,0.2,0.8,0.7,1.0,因为我觉得促进废料的回收利用是一件好的事情，能为我们节约资源合理的利用资源
0.2,0.3,0.5,0.4,0.7,1.0,比较支持垃圾分类政策，就算实际操作中还有很多需要改进，但垃圾分类首先得从每个居民做起
0.3,0.4,0.3,0.3,0.3,1.0,想法是好的，可以一般人根本就不会去分类，都会因为嫌麻烦
0.4,0.4,0.2,1.0,0.1,0.0,本来分类垃圾就已经很麻烦了，现在又要用不同颜色垃圾袋装，增加生活负担。而且没有必要，我觉得只要把垃圾分好了，用什么垃圾袋都可以。
0.3,0.3,0.4,0.65,0.8,1.0,垃圾分类有利于减少污染
0.1,0.8,0.1,0.9,0.0,0.0,需要花费额外的时间和精力去正确分类，对生活带来一定不便。
0.2,0.5,0.3,0.2,0.7,1.0,垃圾分类是响应环境保护政策的有效措施
0.2,0.3,0.5,0.7,0.4,1.0,设备设施不完全  安排的不够妥当
0.3,0.5,0.2,0.8,1.0,1.0,我认为垃圾分类，更能保护环境，提高人们的环保意识
0.2,0.45,0.35,0.75,0.8,1.0,首先，有这个措施会很不错，但是需要宣传以及推广和落实，因为有些人会不懂，也可能会不按照别人希望的那样做，但推出这样的行为是很好的
0.35,0.45,0.2,0.2,0.7,1.0,如果用不同的垃圾袋，装不同的袋子，可以有效的减轻垃圾站工作人员的负担，对我们很方便，也有效地减少对环境的污染，保护生态环境
0.2,0.6,0.2,0.7,0.8,1.0,可以保护环境
0.3,0.5,0.2,0.89,0.6,0.0,有益于我们环境但是实施麻烦
0.2,0.6,0.2,0.1,0.9,1.0,垃圾分类是一件很有意义的事情，对环保事业很重要。
0.1,0.6,0.3,0.4,0.6,1.0,虽然这样的政策需要我们花费格外的时间和精力去正确分类，也会对我们生活带来一定的不便，但是我认为还是很有必要的，如果垃圾分类不正确，会让我们的生活不健康，垃圾污染就会危害到我们的生命
0.2,0.4,0.4,0.7,0.9,1.0,"能够促进对废旧材料的回收,节约很多资源"
0.1,0.7,0.2,0.1,1.0,1.0,垃圾袋分类可以更好的对环境以及整理方便进行更好的处理，我建议可以使用
0.05,0.45,0.5,0.4,0.9,1.0,垃圾分类有利于改善社区环境和公共卫生，值得推行
0.2,0.6,0.2,0.6,1.0,1.0,对环境友好，节约资源
0.3,0.4,0.3,0.4,0.3,0.0,垃圾分类要浪费额外的时间和精力
0.2,0.7,0.1,0.6,0.6,1.0,我觉得垃圾分类这件事很好，对社区环境有益
0.1,0.5,0.4,0.4,0.9,1.0,垃圾分类能够有效减少垃圾对环境的污染，包括空气、土壤和水体等，保护生态环境。
0.15,0.45,0.4,0.6,0.3,0.0,就算本人已经按照标准进行了正确的垃圾分类，但是可能会因为设施不完善或执行力度不够，没有足够的人参与到其中导致实际分类效果不佳。
0.3,0.4,0.3,0.7,0.5,0.0,可能执行力会不够
0.1,0.6,0.3,0.7,0.8,1.0,我觉得我不能确保一直能分类
0.1,0.5,0.4,0.5,1.0,1.0,垃圾分类能够有效减少垃圾对环境的污染，包括空气、土壤和水体等，保护生态环境。
