a,tau,f,lambda,O_inital,A_inital,O_inital_text
0.15,0.7,0.15,0.9,0.6,0.0,价格高出许多
0.05,0.9,0.05,0.9,0.3,0.0,套餐价格还是过高不是很划算，并且升级的东西也不多但是价格确高了一倍
0.4,0.5,0.1,0.8,0.7,0.0,5g速度快，但是钱也增加了20元，感觉不是很划算的样子
0.3,0.5,0.2,0.6,0.8,1.0,套餐较实惠 且基站建设好 网速好
0.01,0.98,0.01,0.9,0.0,0.0,资费套餐又贵，流量完全够用，话费100分钟，根本用不完，狗都不用
0.1,0.85,0.05,0.8,0.1,0.0,价格翻倍，体验并没有翻倍。5G信号不稳定，受限很多，我认为没有特殊场景使用需求，不值得升级。
0.15,0.25,0.6,0.8,0.3,0.0,感觉价钱贵了好多，实际增加的感觉有点少
0.2,0.4,0.4,0.5,0.7,1.0,5G的网速快，在外面看短视频、玩游戏都不会卡。而且信号好，在地铁里、偏远山区都有信号，不会失联。
0.3,0.2,0.5,0.6,0.2,0.0,套餐太贵了不划算
0.0,0.5,0.5,0.8,0.1,0.0,资费比其他运营商都高
0.6,0.2,0.2,0.6,0.8,1.0,套餐可使用流量增加，且价格区间可以接受
0.1,0.5,0.4,0.7,0.4,0.0,这个套餐算比较贵的了  也不是很划算流量也比较少
0.1,0.5,0.4,0.8,0.7,0.0,我认为我的原套餐能满足我的日常消费，我没有大多必要来更换新的
0.2,0.35,0.45,0.85,0.8,0.0,这个价格和这个套餐，还算合理
0.2,0.5,0.3,0.4,0.8,1.0,流量相对于原套餐增多了，原套餐的流量我觉得会不够用，所以我会选择新推出的新套餐
0.02,0.95,0.03,0.8,0.2,0.0,因为信号不好
0.2,0.3,0.5,0.85,0.9,1.0,移动yyds
0.1,0.3,0.6,0.7,0.3,0.0,费用涨的有点多
0.2,0.5,0.3,0.7,0.1,0.0,通用流量太少了，通话时间也太少了，这个套餐不太划算
0.4,0.4,0.2,0.7,0.7,1.0,现在5g信号基站覆盖很多，5G网速体验好
0.0,0.8,0.2,0.0,0.8,1.0,对于这个套餐的话我个人平时经常使用互联网流量方面也是很好的保障，够用
0.05,0.35,0.6,0.9,0.3,0.0,额外的语音和其他服务对我而言边际收益为0，但是价格提高好多，而且我可以选择电信或联通
0.1,0.7,0.2,0.8,0.6,0.0,套餐由19变为39，套餐内的内容却没加多少东西
0.1,0.3,0.6,0.8,0.2,0.0,资费上涨，但是流量增加都太少了
0.1,0.7,0.2,0.6,0.9,1.0,我的手机流量套餐不合适
