a,tau,f,lambda,O_inital,A_inital,O_inital_text
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.7,0.0,合理但麻烦
0.6,0.2,0.2,0.7,0.8,1.0,垃圾分类能不能落地可以观望，但要坚决的试
0.5,0.2,0.3,0.8,0.2,0.0,就算本人已经按照标准进行了正确的垃圾分类，但是可能会因为设施不完善或执行力度不够，没有足够的人参与到其中导致实际分类效果不佳。
0.05,0.8,0.15,0.9,0.3,0.0,分类垃圾需要时间和精力。因此，我给打了一个偏低的分数(但也不是太低）
0.25,0.5,0.25,0.2,1.0,1.0,有效地保护了环境 增加回收利用效率
0.4,0.25,0.35,0.5,1.0,1.0,1、垃圾分类能够对环境有益2、分类有助于回收
0.0,0.9,0.1,0.45,0.9,1.0,保护地球环境 人人有责
0.2,0.5,0.3,0.9,0.3,0.0,要花费更多的时间和精力对生活会造成不变
0.13333333333333333,0.4666666666666667,0.4,0.6,1.0,1.0,分类能够方便进行回收工作
0.05,0.7,0.25,0.8,0.3,0.0,需要花费额外的时间和精力去正确分类，可能对生活带来一定不便。
0.1,0.7,0.2,0.7,0.6,1.0,我觉得政策的初衷是好的，但实际实施起来肯定会有一定的难度，然后导致实施的不那么好
0.1,0.8,0.1,0.8,0.5,0.0,虽然对环境有非常多的保护但是也增加了我们咀嚼日常生活中的垃圾分类的时间成本
0.2,0.5,0.3,0.3,0.8,1.0,垃圾分类能够有效提供回收效率，更好的保护环境
0.2,0.3,0.5,0.7,0.6,1.0,理论上垃圾袋子分类对垃圾分类有着极其简单有效的工作效率，但是现实上每家每户实际上操作起来比较麻烦
0.1,0.6,0.3,0.8,0.9,1.0,促进废旧材料的回收利用，，减少对原材料的需求，节约资源
0.1,0.5,0.4,0.5,0.0,0.0,"需要花费额外的时间和精力去正确分类,对日常生活不便"
0.1,0.8,0.1,0.4,0.9,1.0,垃圾分类可以保护环境
0.0,1.0,0.0,0.1,0.5,0.0,想法不错，但目前国内对分类的认知不足，素质没有跟上，所以带不动，理想很丰满，现实骨感
0.2,0.7,0.1,0.2,0.9,1.0,我们应该更加珍惜资源，提高环保意识。
0.2,0.3,0.5,0.3,0.6,1.0,对我的生活可能带来不便利，但是利于环保，我们的生活可以获得改善提升
0.1,0.8,0.1,0.9,0.1,0.0,我觉得很麻烦，用大量时间去分类，我觉得很多人都没有精力去做
0.1,0.7,0.2,0.4,0.3,0.0,现在人的素质没有这么高，垃圾分类都很难做到，垃圾袋分类我个人认为更难
0.1,0.6,0.3,0.5,1.0,1.0,这个政策可以减少垃圾对环境的污染，保护环境
0.1,0.7,0.2,0.4,0.9,1.0,我觉得对垃圾袋按颜色分类可以更好，更方便的让居民们养成垃圾分类的好习惯，促进垃圾分类习惯的养成，同时能够提高废物利用率。
0.25,0.7,0.05,0.2,0.8,1.0,垃圾袋区分有利于更好做到垃圾分类，从而实现环境保护。
0.2,0.5,0.3,0.9,0.7,1.0,虽然实行之后会占用很多时间，但是对环境有好处，这是值得的
0.4,0.5,0.1,0.3,0.7,1.0,垃圾分类在客观上确实对环境以及居民健康有益，但收到执行情况的影响很大
0.2,0.5,0.3,0.8,1.0,1.0,垃圾分类可以废物利用，方便了扔垃圾的，包括回收垃圾的人
0.1875,0.5,0.3125,0.5,0.4,0.0,虽然实行了垃圾分类 但可能人的主动性很差 所以实行是好的但不知道能不能落实
