a,tau,f,lambda,O_inital,A_inital,O_inital_text
0.05,0.9,0.05,0.9,0.4,0.0,洗碗机昂贵且安装复杂，性价比较低。
0.2,0.5,0.3,0.8,0.4,0.0,家里厨房空间比较有限一般洗碗机体积过大需要在厨房进行大改造会花费很多金钱
0.3,0.6,0.1,0.4,0.9,1.0,因为可以保护餐具不受损坏，清洁的很干净
0.3,0.5,0.2,0.6,0.8,1.0,洗碗机设计简洁 且功能强大 并且清洁能利好 方便
0.2,0.6,0.2,0.7,0.8,1.0,因为配备了节能的技术，而且能节省能源，同时噪音效果也特别好，不会打扰到家庭，所以我会选择
0.2,0.5,0.3,0.6,0.5,0.0,现有的信息暂未能判断洗碗机的好坏，需要更多的比对信息。
0.3,0.5,0.2,0.4,0.8,1.0,方便了自己，还更干净
0.2,0.6,0.2,0.5,0.8,1.0,设计外观看起来挺好看的，而且方太是大品牌，产品质量应该比较好，值得信赖。
0.3,0.3,0.4,0.6,0.2,0.0,空间有限，安装复杂
0.2,0.5,0.3,0.4,0.8,1.0,可以节能，然后减少水电消耗
0.1,0.4,0.5,0.6,0.6,0.0,洗碗机虽然各方面性能很好，但在高负荷运行时水电损耗较大，综上我认为可以6分
0.4,0.3,0.3,0.8,0.7,1.0,这个洗碗机功能比较全面
0.35,0.4,0.25,0.6,0.9,1.0,我认为能大大节省我的时间，更加方便省心
0.25,0.35,0.4,0.75,0.8,1.0,这个洗碗机已经具备了很多功能，而且很方便，能在手机上控制。价格也算合理
0.4,0.3,0.3,0.7,1.0,1.0,我觉得有了洗碗机会很方便，家里的碗，都不用家里人手动去洗了，能帮家里减轻负担，轻松点，而且价格也不算太贵，可以使用很久，我觉得挺不错的
0.1,0.7,0.2,0.6,0.9,1.0,节能环保，有效减轻负担
0.25,0.25,0.5,0.85,1.0,1.0,节能环保释放自己在家压力
0.4,0.3,0.3,0.8,0.3,0.0,价格比较贵且需要较大的厨房空间
0.1,0.7,0.2,0.2,1.0,1.0,我觉得这款洗碗机能够有效减轻家里的洗碗负担，也能更好的减少我们的可利用时间，可以在这个时间完成别的事情。
0.3,0.5,0.2,0.6,0.3,0.0,家庭厨房空间有限，安装起来非常复杂
0.15,0.6,0.25,0.9,0.8,0.0,节能方便且快捷
0.5,0.15,0.35,0.85,0.7,0.0,根据家庭人数，不需要如此大容量的洗碗机，而且水电消耗太大
0.2,0.3,0.5,0.7,0.9,1.0,洗碗机功能强大，方便，效果好，减轻负担
0.1,0.6,0.3,0.7,0.8,1.0,有环保节能的设计，同时在工作时没有噪音
0.1,0.7,0.2,0.6,0.6,1.0,首先我很信任这个牌子的电器，其次根据我得到的信息，我觉得这个电器的价格和性能是一致的
0.1,0.5,0.4,0.5,0.9,1.0,洗碗机一般配备了节能技术，能够在减少水电消耗的同时提供出色的清洁效果，同时静音设计确保在运行时不会打扰到家庭生活的宁静。
0.15,0.45,0.4,0.7,0.3,0.0,家庭厨房空间有限，且安装起来比较复杂。
0.2,0.4,0.4,0.7,0.8,1.0,减少水电消耗，还节能
0.3,0.4,0.3,0.5,0.6,0.0,我认为产品性能是我可以接受的
0.2,0.5,0.3,0.5,0.5,0.0,家庭厨房空间有限，且安装起来比较复杂，我不会选择安装。
