a,tau,f,lambda,O_inital,A_inital,O_inital_text
0.1,0.7,0.2,0.5,0.9,1.0,我比较懒 需要洗碗机
0.4,0.2,0.4,0.01,1.0,1.0,我得到的基础信息是洗碗机非常好
0.2,0.3,0.5,0.7,0.3,0.0,机器挺好的，功能多，但是价格略贵，而且需要改造橱柜而不会自适应橱柜大小，因此我评分3
0.15,0.6,0.25,0.75,0.3,0.0,洗碗机的价格偏贵。且我获取到信息：家庭厨房空间有限，且安装起来比较复杂。所以安装起来还很麻烦，需要时间和金钱成本，觉得不是很值
0.2,0.2,0.6,0.9,0.8,1.0,节能技术 节省水电 静音
0.2,0.6,0.2,0.7,0.6,0.0,2、家庭人数与功能不匹配3、涉及厨房改造，费钱费力
0.55,0.15,0.3,0.8,0.2,0.0,水电消耗大
0.1,0.7,0.2,0.7,0.2,0.0,因为家里安装空间有限并且安装复杂安装不了
0.24324324324324326,0.35135135135135137,0.40540540540540543,0.49,0.5,0.0,空间不好 安装体验感不强
0.25,0.6,0.15,0.2,1.0,1.0,洗碗机一般配备了节能技术，能够在减少水电消耗的同时提供出色的清洁效果，同时静音设计确保在运行时不会打扰到家庭生活的宁静。
0.2,0.6,0.2,0.7,0.7,1.0,我认为总体来说这个价位对比上它的功能还是很合适的，虽然水电费消耗大，但是还是很划算
0.05,0.8,0.15,0.8,0.8,1.0,管理员给我的资讯感觉这个洗碗机非常优异全都是优点
0.2,0.45,0.35,0.6,0.9,1.0,我觉得这个洗碗机非常的好用，带来了许多的便利而且非常的好用，性价比也高
0.22857142857142856,0.45714285714285713,0.3142857142857143,0.8,0.2,0.0,洗碗机消耗能量功率大，不环保，浪费电。洗碗是家庭日常中比较简单的家务 ，不用买昂贵的洗碗机用来代替。
0.1,0.7,0.2,0.8,0.9,1.0,洗碗机一般配备了节能技术，能够在减少水电的同时有出色的清洁效果，静音设计确保运行b h
0.25,0.5,0.25,0.75,0.4,0.0,家庭厨房空间有限，且安装起来比较复杂。
0.05,0.8,0.15,0.7,0.9,1.0,因为这个洗碗机有节能技术。而且静音效果特别好。同时还有清洁功能是我所需求的
