a,tau,f,lambda,O_inital,A_inital,O_inital_text
0.1875,0.375,0.4375,0.85,0.6,0.0,洗碗机，需要空间大，觉得不合适改造
0.25,0.5,0.25,1.0,0.4,0.0,需要对厨房进行改造，很费心思，买这个本来就是用来省事的
0.5,0.35,0.15,0.7,0.8,1.0,功能强大，保护餐具。但价格和必要性还需根据实际情况考虑。
0.15,0.5,0.35,0.6,0.7,1.0,洗碗机的各项功能都做的很好，特别是节能技术，局势价格方面稍微比较贵一点。
0.3,0.5,0.2,0.7,0.4,0.0,我觉得洗碗机虽然很方便，但是对于水电的消耗是很大的，并且价格也不便宜，后续的费用也不低，所以性价比不是很高
0.3,0.6,0.1,0.3,0.8,1.0,功能强大，清洗模式强大
0.28,0.4,0.32,0.65,0.7,1.0,安装较为麻烦，但家里人多确实有这个需求
0.0,1.0,0.0,0.7,0.1,0.0,家庭厨房空间有限，且安装起来比较复杂。不适合购买
0.2,0.6,0.2,0.6,0.9,1.0,因为洗碗机很节能，跟现在的大方向很贴切，在使用的同时还能节约能源，让我们能够剩下一部分费用
0.3684210526315789,0.5263157894736842,0.10526315789473684,1.0,0.5,0.0,首先价格比较昂贵 其次比较耗电还有水电费
0.4,0.3,0.3,0.6,0.5,0.0,家里可容纳 洗碗机的空间不够
0.3684210526315789,0.3157894736842105,0.3157894736842105,0.4,0.2,0.0,首先我认为买一个这么贵的洗碗机是不值的可以自己来进行手洗还会更干净
0.3,0.5,0.2,0.75,0.5,0.0,如果家庭经济没有达到购买洗碗机这个水平的话 我觉得没有必要购买
0.25,0.25,0.5,0.4,0.9,1.0,可以节能
0.2,0.4,0.4,0.8,0.4,0.0,家庭厨房空间有限，且安装起来比较复杂
0.5,0.3,0.2,0.6,0.3,0.0,地方太小了，而且我觉得洗碗机这么贵真的不是很合适，家里人口又不是特别多，还要改造厨房好麻烦。
0.5,0.1,0.4,0.6,0.4,0.0,消耗水电
0.15,0.8,0.05,0.6,0.3,0.0,洗碗机本身能解放双手，但是我的家庭厨房面积比较小，该洗碗机太大，安装困难
0.30493273542600896,0.38565022421524664,0.3094170403587444,0.58,0.8,1.0,我觉得此款很好
0.27102803738317754,0.4158878504672897,0.3130841121495327,0.6,0.9,1.0,我觉得此款洗碗机很好
0.2,0.5,0.3,0.8,0.7,0.0,感觉功能设计挺好的，外观也是，评价还是比较高的。
0.2,0.6,0.2,0.5,0.8,1.0,因为这个洗碗机挺节能的，而且很安静，性价比比较高，挺适合家中使用的
