a,tau,f,lambda,O_inital,A_inital,O_inital_text
0.1,0.2,0.7,0.9,0.6,0.0,套餐升级比较贵
0.4,0.3,0.3,1.0,0.6,0.0,涨价有点多，接受不了
0.15,0.35,0.5,0.8,0.2,0.0,贵，涨了20块钱，没多多少有用的资费功能。
0.3,0.4,0.3,0.6,0.8,1.0,界面设计优化，清新简洁的设计风格使得操作更加直观、界面更加美观；加入了个性化推荐的功能
0.4,0.4,0.2,0.8,0.4,0.0,电话卡套餐还是贵了点
0.3,0.4,0.3,0.6,0.4,0.0,移动信号不稳定
0.32,0.33,0.35,0.3,0.7,1.0,新套餐有更多更快的的流量、语音通话时长和优惠政策，同时价格也不算太贵
0.1,0.1,0.8,0.8,0.0,0.0,这个套餐太贵，不划算
0.3,0.3,0.4,0.7,0.4,0.0,现在更多地使用是wifi 而且也有5g的wifi ，加了20块钱那个流量如果不使用无线也是不够用的
0.3,0.5,0.2,1.0,0.8,1.0,首先流量变多的 通话时间也多了 但是就是变得有点贵
0.6,0.2,0.2,0.6,0.5,1.0,可以用一个新的号码，避免他人用过的号码已经绑定了许多app
0.36363636363636365,0.3181818181818182,0.3181818181818182,0.7,0.6,1.0,套餐整体来感觉是不错便宜实惠 但信号不知道怎么样才
0.1,0.6,0.3,0.45,0.4,0.0,全国通用流量不够用
0.3,0.3,0.4,0.4,0.5,0.0,5G网速快但是定向流量有限制而且也挺贵
0.2,0.5,0.3,0.6,0.2,0.0,推出的新套餐价格太高了，比电信和联通都高
0.4,0.3,0.3,0.7,0.3,0.0,升不升级这个套餐都是好坑
0.2,0.3,0.5,0.3,0.5,0.0,移动的信号覆盖不好
0.1,0.5,0.4,0.03,0.6,1.0,新套餐的流量和通话相比，原先有很大的提升，价格也在合理的范围之内，并且移动的服务也挺好的，但是毕竟价格还是有增长
0.2891566265060241,0.3534136546184739,0.357429718875502,0.98,0.8,1.0,新套餐更划算
0.3,0.344,0.356,0.89,0.9,0.0,新套餐功能比较多
0.2,0.5,0.3,0.7,0.9,1.0,移动目前在通信方面是比较好的，体验感也是。
0.1,0.7,0.2,0.7,0.7,1.0,4g网络变成了5g网络，这个虽然价格贵了，但是它的流量也变多了，并且中国移动官方进行了全面的升级，会提供更加个性化的服务，也有消息推送和即时通讯的功能，非常适合日常使用
0.2,0.5,0.3,0.8,0.4,0.0,价格虚高没有诚意，其他运营商的价格更有性价比，而且给的定向流量限制使用不方便
0.1,0.4,0.5,0.8,0.3,0.0,我认为移动得信号没有其他两大运营商得信号好
0.15,0.35,0.5,0.8,0.3,0.0,19变成39，价格翻了一倍，为什么流量没有完全翻一倍？是改成了定向流量，说不定又是玩什么套路，而且在有WiFi情况下用不了这么多流量
0.2,0.3,0.5,0.4,0.4,1.0,套餐费用太高了
0.05,0.8,0.15,0.3,0.8,1.0,手机在生活中处处用到，这个套餐提高了生活品质，且价格的提升我觉得还好
0.3,0.2,0.5,0.99,0.3,0.0,基本只考虑流量，不划算。
0.1,0.7,0.2,0.85,0.6,1.0,虽然信号有限，但是附加服务还是不错的，通勤日常使用足够了
0.1,0.7,0.2,0.6,0.8,1.0,它的流量变得多了很多，对我来说非常的实用。
0.2,0.4,0.4,0.6,0.8,1.0,通信网速好 但移动流量贵
0.3,0.5,0.2,0.7,0.4,0.0,加了20元 不喜欢 太贵了
0.15,0.7,0.15,0.3,0.9,1.0,流量大，多种APP可以使用，价格也不高
0.2,0.3,0.5,0.6,0.5,1.0,以前的能用但移动给新的手机号能很有诱惑
0.2,0.5,0.3,0.8,0.2,0.0,贵还不好，用处不大
0.2,0.5,0.3,0.8,0.3,0.0,感觉很没有必要，流量没增加多少，还贵了20元，信号也不好
